3.2462 	WARNING 	Import Error: No module named 'psychtoolbox'. Using event module for keyboard component.
1214.9224 	EXP 	Created end_instruct = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='end_instruct', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='norm', win=Window(...), wrapWidth=1.5)
1214.9334 	EXP 	instr1: autoDraw = True
1233.3817 	DATA 	Keypress: space
1233.4059 	EXP 	Imported vig_targ_order.xlsx as conditions, 3 conditions, 3 params
1233.4062 	EXP 	Created sequence: random, trialTypes=3, nReps=1, seed=None
1233.4064 	EXP 	New trial (rep=0, index=0): OrderedDict([('facing_vig', 'C'), ('person_vig', 'U'), ('text_vig', 'did not report her food preferences, so her food preferences are unknown.')])
1233.5817 	EXP 	instr1: autoDraw = False
1233.5817 	EXP 	vig_text_corr: text = 'Jordan did not report her food preferences, so her food preferences are unknown.'
1233.5817 	EXP 	train_targ: image = 'blue_center_nf.png'
1233.5817 	EXP 	vig_text_corr: autoDraw = True
1233.5817 	EXP 	vig_back: autoDraw = True
1233.5817 	EXP 	train_targ: autoDraw = True
1236.7509 	DATA 	Keypress: space
1236.7513 	EXP 	New trial (rep=0, index=1): OrderedDict([('facing_vig', 'C'), ('person_vig', 'D'), ('text_vig', 'is allergic to gluten, meaning she can’t eat wheat products. She enjoys eating dairy products. She thinks eating insects, like crickets, is disgusting.')])
1236.8177 	EXP 	vig_text_corr: autoDraw = False
1236.8177 	EXP 	vig_back: autoDraw = False
1236.8177 	EXP 	train_targ: autoDraw = False
1236.8177 	EXP 	vig_text_corr: text = 'Alex is allergic to gluten, meaning she can’t eat wheat products. She enjoys eating dairy products. She thinks eating insects, like crickets, is disgusting.'
1236.8177 	EXP 	train_targ: image = 'red_center.png'
1236.8177 	EXP 	vig_text_corr: autoDraw = True
1236.8177 	EXP 	vig_back: autoDraw = True
1236.8177 	EXP 	train_targ: autoDraw = True
1243.3895 	DATA 	Keypress: space
1243.3899 	EXP 	New trial (rep=0, index=2): OrderedDict([('facing_vig', 'C'), ('person_vig', 'G'), ('text_vig', 'cannot eat dairy products because she is lactose intolerant. She enjoys eating wheat products. She thinks eating insects, like crickets, is disgusting.')])
1243.4396 	EXP 	vig_text_corr: autoDraw = False
1243.4396 	EXP 	vig_back: autoDraw = False
1243.4396 	EXP 	train_targ: autoDraw = False
1243.4396 	EXP 	vig_text_corr: text = 'Chris cannot eat dairy products because she is lactose intolerant. She enjoys eating wheat products. She thinks eating insects, like crickets, is disgusting.'
1243.4396 	EXP 	train_targ: image = 'green_center_nf.png'
1243.4396 	EXP 	vig_text_corr: autoDraw = True
1243.4396 	EXP 	vig_back: autoDraw = True
1243.4396 	EXP 	train_targ: autoDraw = True
1253.1140 	DATA 	Keypress: space
1253.1305 	EXP 	vig_text_corr: autoDraw = False
1253.1305 	EXP 	vig_back: autoDraw = False
1253.1305 	EXP 	train_targ: autoDraw = False
1253.1305 	EXP 	text_7: autoDraw = True
1266.3080 	DATA 	Keypress: space
1266.3244 	EXP 	text_7: autoDraw = False
1266.3244 	EXP 	dairy1_ex: autoDraw = True
1266.3244 	EXP 	dairy2_ex: autoDraw = True
1266.3244 	EXP 	dairy3_ex: autoDraw = True
1266.3244 	EXP 	dairy4_ex: autoDraw = True
1266.3244 	EXP 	dairy5_ex: autoDraw = True
1266.3244 	EXP 	text_5: autoDraw = True
1271.8127 	DATA 	Keypress: space
1271.8622 	EXP 	dairy1_ex: autoDraw = False
1271.8622 	EXP 	dairy2_ex: autoDraw = False
1271.8622 	EXP 	dairy3_ex: autoDraw = False
1271.8622 	EXP 	dairy4_ex: autoDraw = False
1271.8622 	EXP 	dairy5_ex: autoDraw = False
1271.8622 	EXP 	text_5: autoDraw = False
1271.8622 	EXP 	wheat1_ex: autoDraw = True
1271.8622 	EXP 	wheat2_ex: autoDraw = True
1271.8622 	EXP 	wheat3_ex: autoDraw = True
1271.8622 	EXP 	wheat4_ex: autoDraw = True
1271.8622 	EXP 	wheat5_ex: autoDraw = True
1271.8622 	EXP 	text_8: autoDraw = True
1274.6813 	DATA 	Keypress: space
1274.7145 	EXP 	wheat1_ex: autoDraw = False
1274.7145 	EXP 	wheat2_ex: autoDraw = False
1274.7145 	EXP 	wheat3_ex: autoDraw = False
1274.7145 	EXP 	wheat4_ex: autoDraw = False
1274.7145 	EXP 	wheat5_ex: autoDraw = False
1274.7145 	EXP 	text_8: autoDraw = False
1274.7145 	EXP 	insect1_ex: autoDraw = True
1274.7145 	EXP 	insect2_exp: autoDraw = True
1274.7145 	EXP 	insect3_ex: autoDraw = True
1274.7145 	EXP 	insect4_ex: autoDraw = True
1274.7145 	EXP 	insect5_ex: autoDraw = True
1274.7145 	EXP 	text_9: autoDraw = True
1276.6328 	DATA 	Keypress: space
1276.6493 	EXP 	insect1_ex: autoDraw = False
1276.6493 	EXP 	insect2_exp: autoDraw = False
1276.6493 	EXP 	insect3_ex: autoDraw = False
1276.6493 	EXP 	insect4_ex: autoDraw = False
1276.6493 	EXP 	insect5_ex: autoDraw = False
1276.6493 	EXP 	text_9: autoDraw = False
1276.6493 	EXP 	train_instr1: autoDraw = True
1282.4042 	DATA 	Keypress: space
1282.4207 	EXP 	train_instr1: autoDraw = False
1282.4207 	EXP 	train_instr2: autoDraw = True
1304.3884 	DATA 	Keypress: space
1304.3947 	EXP 	Imported training trials.xlsx as conditions, 20 conditions, 4 params
1304.3954 	EXP 	Created sequence: random, trialTypes=20, nReps=50, seed=None
1304.3958 	EXP 	New trial (rep=0, index=0): OrderedDict([('facing_train', 'C'), ('person_train', 'G'), ('food_train', 'y'), ('correct_key_train', 'b')])
1304.4050 	EXP 	train_instr2: autoDraw = False
1304.9219 	EXP 	text_4: autoDraw = True
1305.4256 	EXP 	text_4: autoDraw = False
1305.4256 	EXP 	person_img: image = 'green_center_nf.png'
1305.4256 	EXP 	food: image = 'insect2_t.png'
1305.8061 	EXP 	background: autoDraw = True
1305.8061 	EXP 	person_img: autoDraw = True
1305.8061 	EXP 	food: autoDraw = True
1308.3581 	DATA 	Keypress: b
1308.3747 	EXP 	background: autoDraw = False
1308.3747 	EXP 	person_img: autoDraw = False
1308.3747 	EXP 	food: autoDraw = False
1308.3747 	EXP 	text_6: text = 'Correct'
1308.3747 	EXP 	text_6: autoDraw = True
1310.3601 	EXP 	New trial (rep=0, index=1): OrderedDict([('facing_train', 'C'), ('person_train', 'G'), ('food_train', 'g'), ('correct_key_train', 'v')])
1310.3763 	EXP 	text_6: autoDraw = False
1310.3763 	EXP 	text_6: autoDraw = False
1310.8933 	EXP 	text_4: autoDraw = True
1311.3938 	EXP 	text_4: autoDraw = False
1311.3938 	EXP 	text_4: autoDraw = False
1311.3938 	EXP 	person_img: image = 'green_center_nf.png'
1311.3938 	EXP 	food: image = 'wheat5_t.png'
1311.6274 	EXP 	background: autoDraw = True
1311.6274 	EXP 	person_img: autoDraw = True
1311.6274 	EXP 	food: autoDraw = True
1313.9959 	DATA 	Keypress: v
1314.0125 	EXP 	background: autoDraw = False
1314.0125 	EXP 	person_img: autoDraw = False
1314.0125 	EXP 	food: autoDraw = False
1314.0125 	EXP 	text_6: text = 'Correct'
1314.0125 	EXP 	text_6: autoDraw = True
1315.9979 	EXP 	New trial (rep=0, index=2): OrderedDict([('facing_train', 'C'), ('person_train', 'G'), ('food_train', 'g'), ('correct_key_train', 'v')])
1316.0141 	EXP 	text_6: autoDraw = False
1316.0141 	EXP 	text_6: autoDraw = False
1316.5312 	EXP 	text_4: autoDraw = True
1317.0316 	EXP 	text_4: autoDraw = False
1317.0316 	EXP 	text_4: autoDraw = False
1317.0316 	EXP 	person_img: image = 'green_center_nf.png'
1317.0316 	EXP 	food: image = 'wheat5_t.png'
1317.2651 	EXP 	background: autoDraw = True
1317.2651 	EXP 	person_img: autoDraw = True
1317.2651 	EXP 	food: autoDraw = True
