3.2477 	WARNING 	Import Error: No module named 'psychtoolbox'. Using event module for keyboard component.
804.3061 	EXP 	Created end_instruct = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=-1.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='end_instruct', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='norm', win=Window(...), wrapWidth=1.5)
804.3261 	EXP 	instr1: autoDraw = True
829.3122 	DATA 	Keypress: space
829.3351 	EXP 	Imported vig_targ_order.xlsx as conditions, 3 conditions, 3 params
829.3354 	EXP 	Created sequence: random, trialTypes=3, nReps=1, seed=None
829.3356 	EXP 	New trial (rep=0, index=0): OrderedDict([('facing_vig', 'C'), ('person_vig', 'G'), ('text_vig', 'cannot eat dairy products because she is lactose intolerant. She enjoys eating wheat products. She thinks eating insects, like crickets, is disgusting.')])
829.4757 	EXP 	instr1: autoDraw = False
829.4757 	EXP 	vig_text_corr: text = 'Chris cannot eat dairy products because she is lactose intolerant. She enjoys eating wheat products. She thinks eating insects, like crickets, is disgusting.'
829.4757 	EXP 	train_targ: image = 'red_center.png'
829.4757 	EXP 	vig_text_corr: autoDraw = True
829.4757 	EXP 	vig_back: autoDraw = True
829.4757 	EXP 	train_targ: autoDraw = True
858.4147 	DATA 	Keypress: space
858.4151 	EXP 	New trial (rep=0, index=1): OrderedDict([('facing_vig', 'C'), ('person_vig', 'U'), ('text_vig', 'did not report her food preferences, so her food preferences are unknown.')])
858.4648 	EXP 	vig_text_corr: autoDraw = False
858.4648 	EXP 	vig_back: autoDraw = False
858.4648 	EXP 	train_targ: autoDraw = False
858.4648 	EXP 	vig_text_corr: text = 'Alex did not report her food preferences, so her food preferences are unknown.'
858.4648 	EXP 	train_targ: image = 'blue_center_nf.png'
858.4648 	EXP 	vig_text_corr: autoDraw = True
858.4648 	EXP 	vig_back: autoDraw = True
858.4648 	EXP 	train_targ: autoDraw = True
871.3080 	DATA 	Keypress: space
871.3083 	EXP 	New trial (rep=0, index=2): OrderedDict([('facing_vig', 'C'), ('person_vig', 'D'), ('text_vig', 'is allergic to gluten, meaning she can’t eat wheat products. She enjoys eating dairy products. She thinks eating insects, like crickets, is disgusting.')])
871.3747 	EXP 	vig_text_corr: autoDraw = False
871.3747 	EXP 	vig_back: autoDraw = False
871.3747 	EXP 	train_targ: autoDraw = False
871.3747 	EXP 	vig_text_corr: text = 'Jordan is allergic to gluten, meaning she can’t eat wheat products. She enjoys eating dairy products. She thinks eating insects, like crickets, is disgusting.'
871.3747 	EXP 	train_targ: image = 'green_center_nf.png'
871.3747 	EXP 	vig_text_corr: autoDraw = True
871.3747 	EXP 	vig_back: autoDraw = True
871.3747 	EXP 	train_targ: autoDraw = True
883.2172 	DATA 	Keypress: space
883.2338 	EXP 	vig_text_corr: autoDraw = False
883.2338 	EXP 	vig_back: autoDraw = False
883.2338 	EXP 	train_targ: autoDraw = False
883.2338 	EXP 	text_7: autoDraw = True
894.4093 	DATA 	Keypress: space
894.4258 	EXP 	text_7: autoDraw = False
894.4258 	EXP 	dairy1_ex: autoDraw = True
894.4258 	EXP 	dairy2_ex: autoDraw = True
894.4258 	EXP 	dairy3_ex: autoDraw = True
894.4258 	EXP 	dairy4_ex: autoDraw = True
894.4258 	EXP 	dairy5_ex: autoDraw = True
894.4258 	EXP 	text_5: autoDraw = True
901.9151 	DATA 	Keypress: space
901.9315 	EXP 	dairy1_ex: autoDraw = False
901.9315 	EXP 	dairy2_ex: autoDraw = False
901.9315 	EXP 	dairy3_ex: autoDraw = False
901.9315 	EXP 	dairy4_ex: autoDraw = False
901.9315 	EXP 	dairy5_ex: autoDraw = False
901.9315 	EXP 	text_5: autoDraw = False
901.9315 	EXP 	wheat1_ex: autoDraw = True
901.9315 	EXP 	wheat2_ex: autoDraw = True
901.9315 	EXP 	wheat3_ex: autoDraw = True
901.9315 	EXP 	wheat4_ex: autoDraw = True
901.9315 	EXP 	wheat5_ex: autoDraw = True
901.9315 	EXP 	text_8: autoDraw = True
908.6202 	DATA 	Keypress: space
908.6534 	EXP 	wheat1_ex: autoDraw = False
908.6534 	EXP 	wheat2_ex: autoDraw = False
908.6534 	EXP 	wheat3_ex: autoDraw = False
908.6534 	EXP 	wheat4_ex: autoDraw = False
908.6534 	EXP 	wheat5_ex: autoDraw = False
908.6534 	EXP 	text_8: autoDraw = False
908.6534 	EXP 	insect1_ex: autoDraw = True
908.6534 	EXP 	insect2_exp: autoDraw = True
908.6534 	EXP 	insect3_ex: autoDraw = True
908.6534 	EXP 	insect4_ex: autoDraw = True
908.6534 	EXP 	insect5_ex: autoDraw = True
908.6534 	EXP 	text_9: autoDraw = True
915.3254 	DATA 	Keypress: space
915.3951 	EXP 	insect1_ex: autoDraw = False
915.3951 	EXP 	insect2_exp: autoDraw = False
915.3951 	EXP 	insect3_ex: autoDraw = False
915.3951 	EXP 	insect4_ex: autoDraw = False
915.3951 	EXP 	insect5_ex: autoDraw = False
915.3951 	EXP 	text_9: autoDraw = False
915.3951 	EXP 	train_instr1: autoDraw = True
921.5167 	DATA 	Keypress: space
921.5332 	EXP 	train_instr1: autoDraw = False
921.5332 	EXP 	train_instr2: autoDraw = True
943.4836 	DATA 	Keypress: space
943.4896 	EXP 	Imported training trials.xlsx as conditions, 20 conditions, 4 params
943.4903 	EXP 	Created sequence: random, trialTypes=20, nReps=50, seed=None
943.4907 	EXP 	New trial (rep=0, index=0): OrderedDict([('facing_train', 'C'), ('person_train', 'G'), ('food_train', 'y'), ('correct_key_train', 'b')])
943.5169 	EXP 	train_instr2: autoDraw = False
944.0339 	EXP 	text_4: autoDraw = True
944.5176 	EXP 	text_4: autoDraw = False
